Age,Balance,IsActiveMember,Gender_encoded,Exited
40,0.0,1,1,0
44,0.0,0,1,0
31,82674.15,0,0,0
36,0.0,0,0,0
65,0.0,1,1,1
46,107073.27,1,1,1
32,88938.62,1,0,0
36,99806.85,1,1,0
33,150092.8,0,0,0
35,92833.89,0,0,1
30,90536.81,1,0,0
39,108055.1,0,0,0
42,100238.35,0,0,0
36,106190.55,1,0,0
28,154475.54,1,0,1
30,132351.29,1,1,0
37,167864.4,0,1,0
41,0.0,0,1,0
31,107818.63,0,1,1
34,185173.81,0,0,0
34,129433.34,0,0,0
39,120193.42,0,0,0
39,0.0,0,1,0
48,126384.42,1,1,0
28,0.0,0,1,0
42,152603.45,0,0,1
52,0.0,1,1,1
56,148507.24,0,0,1
41,0.0,0,1,0
24,101827.07,0,0,0
34,0.0,1,1,0
33,130862.43,1,1,0
38,122570.87,1,0,0
25,0.0,1,0,0
39,124828.46,1,0,0
50,144895.05,1,1,0
34,63663.93,1,1,0
40,133463.1,1,0,0
48,213146.2,0,1,1
35,129490.36,1,1,1
44,137452.09,0,0,0
34,0.0,1,0,0
43,125851.93,1,1,0
52,0.0,0,0,1
31,40915.55,0,1,1
21,113157.22,1,1,0
29,138296.94,0,1,0
37,106967.18,0,0,0
44,120681.63,0,0,0
32,0.0,1,0,0
32,0.0,0,1,0
48,0.0,0,1,1
42,0.0,0,0,0
37,127609.59,0,0,0
43,0.0,1,1,0
57,0.0,0,0,1
33,0.0,0,1,0
28,0.0,1,1,0
73,97259.25,1,1,0
33,123246.7,0,1,0
22,101060.25,1,1,0
30,0.0,0,0,0
49,108007.36,0,1,0
36,0.0,1,1,0
29,133702.89,0,0,1
31,125189.75,1,0,0
24,113034.22,0,1,1
41,109013.23,0,1,0
39,0.0,0,1,1
24,57929.81,0,0,0
29,130114.39,0,1,0
27,95826.49,0,0,0
44,129608.57,0,0,1
30,169462.09,0,0,0
40,0.0,1,0,0
35,133868.21,1,1,0
30,0.0,1,1,0
36,190479.48,0,0,0
40,101993.12,1,1,0
55,161608.81,0,1,1
45,122311.21,1,1,0
65,0.0,1,0,0
45,162150.42,0,1,0
42,0.0,1,0,0
50,0.0,1,1,1
32,0.0,0,0,0
39,99010.67,0,1,0
37,0.0,1,1,0
30,0.0,1,0,0
34,111388.18,0,1,0
41,56214.85,0,1,1
36,84327.77,0,1,0
40,0.0,0,0,0
32,93012.89,0,0,0
29,61710.44,0,0,0
35,174790.15,1,0,0
32,0.0,1,1,0
37,107720.64,1,0,0
57,0.0,1,0,0
35,96423.84,0,0,0
30,141040.01,1,0,0
42,105420.18,1,0,0
50,0.0,1,0,1
38,129022.06,1,1,1
33,176666.62,0,0,0
37,0.0,1,0,0
41,89763.84,0,1,1
34,134954.53,1,0,0
45,0.0,0,0,1
45,106376.85,1,0,0
33,161814.64,0,0,0
31,0.0,1,0,0
41,0.0,0,1,0
34,63095.01,1,1,0
26,118287.01,0,0,0
47,106854.21,1,0,1
46,49512.55,0,0,0
33,0.0,0,1,0
43,105799.32,0,0,1
54,0.0,1,0,1
31,114722.05,1,1,0
30,0.0,1,0,0
42,0.0,1,0,0
33,0.0,0,0,1
45,99564.22,1,0,1
37,170557.91,0,0,0
30,0.0,1,1,0
39,74596.15,1,1,1
50,96888.39,0,0,1
29,130830.22,0,1,0
72,0.0,1,0,0
40,0.0,0,0,0
37,0.0,1,1,0
20,119714.25,1,0,0
67,113978.97,1,1,0
42,100160.75,0,0,1
29,0.0,1,1,0
43,116220.5,0,1,1
46,0.0,0,1,1
28,81173.83,1,0,0
38,0.0,0,0,0
39,116803.8,0,1,0
37,105961.68,1,0,0
67,117411.6,1,0,1
34,0.0,0,0,0
40,123497.58,0,1,1
26,152400.51,0,0,0
26,0.0,1,1,0
24,103097.85,1,0,0
54,126418.14,0,0,1
36,77846.9,0,1,0
34,0.0,1,1,0
79,0.0,1,1,0
37,79731.91,1,0,0
28,0.0,0,0,0
41,0.0,1,0,0
34,0.0,1,0,0
34,37266.67,0,1,0
30,127992.25,1,1,0
38,54901.01,1,0,0
42,108748.08,1,0,0
48,99906.19,0,1,0
32,184686.41,0,1,0
26,110654.02,1,1,0
31,79019.8,1,0,0
36,99240.51,0,1,0
34,0.0,1,0,0
36,0.0,0,0,0
39,0.0,0,1,1
35,52436.2,0,1,0
41,0.0,1,0,0
34,100337.96,0,0,1
34,149297.19,1,1,0
30,0.0,0,0,0
28,145605.44,1,0,0
37,0.0,1,1,0
62,0.0,1,0,1
53,0.0,0,1,0
35,84026.86,1,0,0
46,0.0,0,0,1
39,0.0,1,0,0
29,0.0,1,0,0
35,138718.92,1,0,1
42,118274.71,1,0,0
22,174185.98,1,1,0
40,113208.86,0,0,0
29,103907.28,0,0,0
32,119023.28,0,1,0
26,166297.89,1,1,0
34,0.0,0,0,0
42,63227.0,1,0,0
41,94521.17,0,1,0
27,0.0,0,0,0
34,112822.26,0,1,1
38,0.0,1,0,0
25,135903.33,0,0,0
31,125169.26,1,1,0
44,0.0,0,1,1
58,149117.31,1,0,0
33,0.0,1,0,0
31,0.0,0,1,0
36,132311.71,0,1,0
35,0.0,0,0,0
33,0.0,1,1,0
33,118082.89,0,0,0
31,119266.69,1,0,0
43,0.0,1,0,1
35,156847.29,0,0,0
50,137104.47,0,0,1
31,78398.69,0,0,0
80,0.0,1,1,0
30,63669.42,0,0,0
38,0.0,0,0,0
59,135296.33,0,1,0
36,153804.44,1,0,0
37,0.0,0,0,0
49,147069.78,0,0,1
42,0.0,1,0,0
22,0.0,0,1,0
24,95741.75,0,0,0
57,145965.33,1,1,0
30,141441.75,1,1,0
40,139290.41,0,0,1
31,0.0,0,1,0
30,0.0,0,0,0
35,144428.87,0,0,0
35,0.0,0,0,0
46,95441.27,0,1,1
35,144848.74,1,0,0
26,116244.14,1,0,0
50,0.0,1,0,0
40,146502.07,0,1,0
44,117028.6,1,0,0
30,112013.81,0,1,1
37,108269.37,0,1,0
29,182123.79,0,0,1
32,150923.74,1,1,0
33,0.0,0,0,0
39,165272.13,0,1,1
39,115301.31,0,1,1
40,129502.49,1,1,1
31,118342.26,0,0,0
47,0.0,1,1,0
22,0.0,0,0,0
25,0.0,0,1,0
43,0.0,0,1,0
34,106937.05,0,1,0
59,170331.37,1,0,0
32,114510.85,1,1,0
39,0.0,1,0,0
32,107594.11,1,0,0
39,81273.13,1,0,0
32,169399.6,0,1,0
25,0.0,1,0,0
45,187841.99,1,1,0
30,0.0,0,0,0
57,126776.3,1,1,0
34,126436.29,0,0,1
41,101960.74,1,0,0
58,0.0,1,0,0
28,0.0,1,0,0
45,150842.93,1,1,1
50,102535.57,1,1,0
29,99027.61,0,1,0
68,0.0,1,0,0
33,0.0,1,1,0
42,87271.41,0,1,0
35,102742.91,1,1,0
34,40105.51,1,0,0
29,152265.43,0,1,0
42,141947.67,1,0,0
75,106307.91,1,1,0
31,107884.81,1,0,0
31,125013.72,1,0,0
35,58469.37,1,0,0
39,0.0,1,1,0
45,117231.63,1,0,1
35,152390.26,0,0,0
30,34013.63,0,1,0
39,0.0,0,1,1
50,0.0,1,1,0
36,101583.11,0,0,0
30,77168.87,1,1,0
28,124695.72,0,0,0
44,105934.96,0,0,0
66,0.0,1,1,0
46,0.0,0,0,0
62,0.0,1,0,0
45,0.0,1,1,0
21,161525.96,0,1,0
29,147199.07,1,1,0
38,183102.29,1,0,0
46,127209.0,0,0,1
38,0.0,0,0,1
24,97378.54,1,1,0
37,136925.09,1,1,0
33,54503.55,1,0,0
32,155726.85,0,0,0
39,0.0,1,1,0
66,135842.41,0,1,1
52,63349.75,0,0,0
38,129499.42,1,1,0
52,0.0,1,0,0
36,70438.01,1,0,0
23,0.0,1,0,0
36,0.0,0,0,0
49,141434.04,0,1,1
37,0.0,0,1,0
37,152958.29,1,0,0
41,138306.34,0,1,0
23,0.0,0,0,0
38,0.0,1,0,0
31,124328.84,1,1,0
41,181461.48,1,1,1
35,0.0,0,0,0
26,0.0,0,0,0
61,110368.03,0,1,1
39,89588.35,1,1,0
46,0.0,0,1,0
28,0.0,0,1,0
60,115924.89,0,1,1
38,0.0,0,1,0
40,111756.5,0,0,1
35,0.0,0,1,0
39,0.0,0,0,0
26,162923.85,0,0,0
39,124576.65,0,0,0
45,80793.58,1,0,0
40,71340.09,0,1,0
40,99282.63,0,0,1
57,137946.39,1,0,1
41,127892.57,1,0,0
33,101084.36,0,1,0
37,114754.08,0,1,1
33,0.0,0,0,0
51,99286.98,1,1,0
30,79871.02,0,1,0
35,104088.59,0,0,0
38,168190.33,0,1,0
42,85679.25,1,1,0
35,0.0,0,1,0
31,0.0,0,1,0
34,121551.58,1,1,0
46,122220.19,1,0,0
47,116528.15,0,0,1
26,77780.29,1,1,0
37,0.0,0,0,0
40,125832.2,1,0,0
38,68065.8,0,1,1
47,127299.34,0,1,0
38,174937.64,0,1,0
40,0.0,1,0,0
31,110071.1,0,0,0
44,139432.37,0,1,0
39,127357.76,1,1,0
36,0.0,0,0,0
33,0.0,1,0,0
38,0.0,0,0,0
43,95556.31,1,0,1
37,0.0,1,0,0
29,111681.98,1,0,0
39,0.0,0,0,0
25,108738.71,0,1,0
32,133950.37,1,1,1
26,0.0,1,0,0
33,89968.69,0,0,0
32,0.0,1,1,0
38,130878.75,0,1,1
35,0.0,0,0,0
35,0.0,1,0,0
27,134169.62,1,0,0
37,149762.08,0,0,1
26,93844.69,0,0,0
28,0.0,0,0,0
33,0.0,0,1,0
46,141078.37,0,0,1
31,117992.59,1,1,0
40,100812.33,0,1,0
38,0.0,1,0,0
29,80262.6,1,0,0
34,156478.62,1,0,0
23,0.0,0,1,0
37,0.0,0,0,0
37,115217.99,0,0,0
61,0.0,0,0,1
35,155470.55,1,1,0
37,0.0,0,0,0
39,135096.77,1,0,1
30,0.0,1,0,0
55,180075.22,1,1,0
29,97541.24,1,0,0
41,156067.05,1,1,0
38,81550.94,1,1,0
47,0.0,0,1,1
38,170061.92,0,1,1
36,92310.54,1,0,0
32,169089.38,0,1,0
40,80613.93,1,0,0
26,121581.56,1,0,0
58,0.0,1,1,1
32,0.0,1,0,0
54,0.0,1,0,0
60,85891.55,0,0,1
44,77637.35,1,0,0
41,0.0,0,1,0
31,0.0,0,0,0
30,116927.89,0,0,0
40,137326.65,0,1,0
22,0.0,1,0,0
37,0.0,1,1,0
31,67238.98,1,1,0
38,86569.76,0,1,0
34,0.0,0,0,0
34,133598.4,1,0,0
51,136188.78,1,1,1
38,0.0,0,0,0
56,0.0,1,1,1
37,120092.52,0,0,0
48,101238.24,1,0,1
58,89685.92,1,0,0
35,211774.31,0,1,1
56,131317.48,1,0,0
37,93722.73,1,0,0
32,101160.99,1,0,0
48,120320.54,0,0,0
31,0.0,1,1,0
43,0.0,1,0,0
26,0.0,0,0,0
48,152827.99,0,1,1
30,64097.75,1,0,0
57,119035.35,1,1,0
26,135219.57,1,1,0
32,93694.42,1,0,0
35,59408.63,0,0,0
40,114354.95,0,1,0
59,0.0,0,0,1
35,128173.9,0,0,0
34,0.0,0,0,0
62,114931.35,1,1,1
28,111071.36,0,1,1
37,151226.18,1,0,0
26,0.0,1,0,0
42,64740.12,1,1,0
51,169312.13,0,0,1
49,0.0,1,1,1
44,112652.08,0,1,0
38,0.0,0,0,0
30,143964.36,0,1,0
49,122451.46,1,0,0
24,0.0,1,0,0
36,65253.07,0,1,0
47,106901.94,1,0,1
25,128509.63,0,1,0
34,0.0,0,0,0
33,129834.67,0,0,0
51,154962.99,1,1,1
40,138241.9,0,0,0
41,91536.93,0,0,1
53,0.0,1,0,0
70,0.0,1,1,0
29,105204.01,1,1,0
61,152968.73,1,0,0
36,158261.68,1,0,0
46,0.0,0,1,1
38,121021.05,1,1,0
36,0.0,1,0,0
54,0.0,0,1,1
63,137715.66,1,1,0
31,121192.22,1,0,0
31,0.0,1,0,0
44,100486.18,1,0,0
45,0.0,0,0,1
35,92566.53,0,0,0
49,0.0,1,1,1
40,110929.96,1,0,0
27,0.0,1,1,0
32,138901.61,0,1,0
30,123217.66,1,0,0
41,0.0,0,1,0
39,0.0,1,0,0
36,0.0,0,0,0
33,108431.87,1,1,1
57,0.0,1,1,0
30,72392.41,0,1,0
51,119741.77,0,1,1
51,100946.71,0,1,1
53,170491.84,0,0,1
44,0.0,1,0,0
36,0.0,0,0,0
47,157296.02,0,1,1
38,144606.22,1,1,1
38,134811.3,0,0,0
34,115897.12,1,1,0
32,82034.0,0,0,0
26,174318.13,1,1,0
41,114206.84,0,1,0
43,0.0,0,0,0
39,111574.41,1,0,0
57,162448.69,0,1,1
34,148249.54,1,1,0
43,0.0,1,1,1
26,123709.46,1,1,0
72,0.0,1,1,0
30,0.0,0,0,1
37,150525.8,1,0,0
29,0.0,1,0,0
53,0.0,1,0,0
28,0.0,0,0,0
35,0.0,1,0,0
51,111018.98,0,1,0
30,129755.99,0,0,0
27,0.0,0,1,0
64,129555.7,1,1,0
38,87202.38,1,0,0
26,146133.39,1,0,0
31,0.0,0,1,1
39,170184.99,0,0,0
62,140745.33,0,1,1
42,139070.51,1,0,0
37,0.0,1,1,0
35,114193.24,0,0,0
40,167878.5,1,1,0
53,141616.55,1,1,0
36,145747.67,1,0,0
48,129120.64,1,1,0
35,110349.82,0,0,0
29,141325.56,1,0,0
49,78653.84,0,0,0
47,0.0,1,0,0
28,142253.65,0,1,0
61,0.0,0,1,1
54,115988.86,0,1,1
33,75592.43,0,1,0
44,164113.04,1,0,0
31,67996.23,0,0,1
51,0.0,0,1,0
33,0.0,0,1,0
48,138778.15,1,0,0
43,147832.15,1,1,0
36,135438.4,0,1,0
48,116060.08,0,0,1
29,112564.62,0,1,0
27,125406.58,1,1,0
39,135134.99,0,1,1
39,133102.92,0,1,1
34,42157.08,0,1,1
30,0.0,1,1,0
38,82259.29,0,0,0
36,0.0,0,1,0
38,0.0,1,0,0
49,0.0,1,1,0
52,0.0,1,0,0
42,150461.07,0,0,0
48,133994.52,1,0,1
31,164870.81,1,0,0
25,121702.73,1,0,0
25,193858.2,1,0,0
54,131039.97,1,1,0
64,113829.45,1,0,0
30,0.0,0,1,0
41,81877.38,1,1,0
57,116326.07,1,0,0
31,0.0,1,0,0
46,0.0,1,0,0
41,0.0,1,1,0
33,0.0,1,0,0
31,127070.73,1,1,0
29,0.0,1,0,0
46,122549.64,1,0,0
42,176099.13,1,1,0
48,122388.38,0,1,0
42,0.0,1,0,0
26,0.0,0,0,0
32,118879.35,1,1,0
35,0.0,1,0,0
39,0.0,1,1,0
38,88736.44,0,1,0
45,102703.62,1,0,1
70,0.0,1,1,0
38,0.0,0,1,0
55,97318.25,1,0,0
58,128468.69,1,0,0
41,133432.59,1,1,0
40,141782.57,0,1,0
24,135125.28,0,0,0
42,178820.91,0,0,1
31,112212.14,1,1,0
45,126674.81,0,1,1
51,136294.97,0,1,1
36,66392.64,0,1,0
27,122552.34,0,0,0
43,76408.85,0,0,0
36,145071.24,0,0,0
34,0.0,1,0,0
45,109730.22,1,1,0
57,0.0,1,0,0
62,64119.38,1,0,1
57,106138.33,1,1,1
36,0.0,1,0,0
33,181656.51,1,0,0
32,0.0,0,1,0
30,95128.86,0,0,0
49,126615.94,1,1,0
36,0.0,1,0,0
36,76190.48,1,0,0
40,168286.81,0,0,1
35,88109.81,1,0,0
42,0.0,0,0,0
35,0.0,1,1,0
34,123971.51,0,1,0
48,148116.48,0,0,0
35,116269.01,0,0,0
38,120599.21,0,0,0
41,144260.5,0,1,0
25,86605.5,0,1,1
34,0.0,0,0,0
37,58629.97,0,1,0
42,0.0,0,1,0
45,0.0,0,0,0
43,0.0,1,1,0
56,209767.31,1,1,1
42,129634.25,1,1,1
23,0.0,0,0,0
38,169824.46,0,1,0
36,97530.25,1,0,0
42,145988.65,1,1,0
37,0.0,1,0,0
25,0.0,1,1,0
40,137494.28,0,1,0
57,0.0,0,1,1
24,147360.0,1,0,0
25,0.0,0,1,0
31,125167.02,0,0,0
43,121152.05,0,0,1
60,128981.07,1,1,1
47,0.0,1,0,0
67,151858.98,1,0,0
36,114628.4,1,0,0
46,0.0,0,0,0
28,95059.02,0,1,0
24,128736.39,1,1,0
24,156325.38,1,0,0
29,105405.97,1,0,0
49,88915.37,0,1,1
60,0.0,1,0,0
40,0.0,1,0,0
18,160980.03,0,0,0
46,177619.71,0,1,0
38,62276.99,1,0,0
46,127559.97,1,0,0
41,0.0,1,0,0
47,95523.16,0,1,0
35,107749.03,1,1,0
37,110777.26,0,0,0
39,166733.92,0,1,0
31,157120.86,0,0,0
36,127160.78,0,1,0
28,0.0,1,1,0
37,156091.97,0,1,0
58,98668.18,1,0,0
43,134022.06,0,1,0
35,124151.09,0,1,1
36,77253.5,0,1,1
21,114292.48,0,1,0
43,140080.32,1,0,1
27,135277.96,0,1,0
82,0.0,1,1,0
60,115920.62,0,0,1
41,119782.72,0,0,0
63,114715.71,1,1,1
36,129748.54,0,1,1
31,129722.57,0,0,0
32,0.0,1,0,0
36,139180.2,0,0,0
49,113599.74,0,0,1
33,134944.0,1,0,0
58,116922.25,0,1,1
28,118945.09,0,0,1
28,0.0,1,0,0
35,119182.73,0,1,0
27,0.0,0,0,0
28,71264.02,1,1,0
41,0.0,1,0,0
35,0.0,0,1,0
58,116313.57,1,0,1
36,92140.15,1,0,0
26,0.0,1,0,0
42,177640.09,1,0,0
35,0.0,0,1,0
48,167997.6,1,0,0
36,82275.35,1,0,0
49,0.0,1,0,0
48,111962.99,0,1,0
34,131736.88,1,1,0
29,0.0,0,0,0
36,108239.11,0,0,0
46,98444.19,1,1,0
32,114540.38,0,0,0
35,187530.66,1,1,0
42,133636.16,1,1,0
52,0.0,1,0,0
44,84745.03,1,1,0
31,120599.38,1,1,0
29,0.0,1,1,0
39,127771.35,1,0,0
46,0.0,0,1,1
33,0.0,0,1,0
69,0.0,1,0,0
53,167772.96,1,0,0
37,95845.6,0,1,0
35,0.0,0,1,0
65,134714.7,1,0,0
33,0.0,1,1,0
28,122384.22,1,0,1
26,0.0,0,1,0
25,157993.15,0,0,0
29,0.0,0,0,0
42,123331.36,0,1,1
27,75263.16,1,0,0
43,137824.03,0,1,0
36,132578.92,0,0,0
36,156021.31,0,1,0
34,0.0,0,0,0
69,137453.43,1,1,1
36,0.0,0,0,0
33,164284.72,1,0,0
47,0.0,1,1,0
56,0.0,1,0,0
31,112373.49,1,1,0
39,0.0,0,1,0
34,0.0,1,1,0
41,0.0,1,1,0
29,154333.82,1,1,0
37,111432.77,1,0,0
30,0.0,0,1,0
34,137390.11,0,0,0
37,0.0,1,1,0
56,111642.08,1,1,0
48,0.0,1,1,1
36,83543.37,0,0,0
50,145338.76,0,0,1
31,186796.37,0,1,0
35,58641.43,1,0,0
41,0.0,0,1,1
44,137148.68,0,0,0
49,80001.23,0,0,0
21,86402.52,0,0,0
42,0.0,0,1,0
51,122874.74,1,0,0
25,97544.29,1,0,0
46,170826.55,0,0,0
48,97133.92,0,1,1
41,153895.65,1,1,0
43,0.0,1,1,0
57,0.0,1,1,0
32,0.0,0,0,0
49,134956.02,0,1,1
39,143637.58,1,0,0
32,147506.25,1,0,0
64,0.0,0,0,1
43,190227.46,0,0,1
32,172448.77,0,1,1
41,113980.21,1,0,0
53,0.0,1,0,0
38,0.0,0,0,0
25,76968.12,1,1,0
38,88293.13,1,0,0
48,170833.46,0,1,1
44,108122.39,0,0,1
36,0.0,1,0,0
40,0.0,1,1,0
45,129818.39,0,1,1
35,163943.89,1,1,0
28,0.0,0,0,0
38,101430.3,1,1,0
39,117301.66,0,1,0
32,173340.83,1,1,0
42,0.0,1,1,0
33,134348.57,0,1,0
45,105525.65,1,1,0
60,0.0,0,1,1
43,0.0,0,1,1
36,106192.1,0,0,0
45,45144.43,0,1,1
65,92113.61,1,0,0
25,0.0,1,0,0
38,128366.44,0,0,0
42,0.0,1,0,0
74,106545.53,1,0,0
43,145618.37,1,1,0
37,141541.25,0,0,0
32,57017.06,1,0,0
42,0.0,0,0,0
51,0.0,1,1,1
35,125884.95,0,1,1
32,61825.5,1,0,0
35,0.0,0,0,0
40,0.0,0,1,0
40,102967.41,0,1,1
25,171770.55,0,0,0
40,93051.64,0,0,1
36,161064.64,1,0,0
48,90612.34,1,1,0
28,145105.64,0,0,0
58,0.0,0,0,1
45,0.0,1,1,1
33,174912.72,1,0,0
46,104947.72,0,1,1
31,135213.71,1,0,0
25,0.0,0,0,0
36,116229.85,1,0,0
53,111201.41,1,1,0
32,0.0,0,1,0
27,131899.0,0,0,0
35,124525.52,1,0,0
47,0.0,0,0,0
39,0.0,1,0,1
45,47134.75,1,1,0
35,0.0,0,0,0
45,0.0,0,0,0
44,0.0,1,0,0
61,0.0,0,0,1
51,0.0,0,0,1
19,138657.08,1,1,0
34,70302.48,1,1,0
36,101609.01,1,1,0
35,0.0,1,0,0
38,130170.82,1,0,0
61,133802.29,1,0,0
24,106234.02,0,1,0
39,132628.98,0,0,0
41,103522.75,1,0,0
42,192390.52,0,1,0
36,0.0,1,0,1
37,0.0,1,0,0
38,0.0,1,1,0
52,109922.61,1,0,1
44,128605.32,1,1,0
37,0.0,1,1,0
37,68598.56,0,1,0
35,106518.52,1,0,0
31,0.0,0,1,0
46,0.0,0,1,1
29,121326.42,0,1,0
36,67226.37,0,0,0
25,82931.85,1,1,0
39,0.0,0,1,1
38,118590.41,1,1,1
67,145981.87,1,0,0
48,73309.38,0,1,1
48,130796.33,1,1,0
33,151607.56,0,0,0
66,111577.01,1,1,0
39,107042.74,1,0,0
42,156371.61,1,1,1
44,129605.99,0,1,0
43,0.0,1,1,0
67,0.0,1,1,0
27,132576.25,0,0,0
37,129101.3,1,1,0
31,108822.4,1,1,0
35,137948.51,0,0,0
32,100433.8,1,0,0
63,96134.11,0,0,1
43,115888.04,1,1,1
42,124626.07,1,1,0
34,139810.34,1,1,0
34,0.0,0,1,0
37,84496.71,0,0,0
70,116854.71,1,0,0
48,138333.03,1,1,0
25,0.0,1,0,0
43,78992.75,0,0,0
38,97257.41,1,1,0
34,122453.37,0,0,0
36,112940.07,1,1,0
43,132558.26,0,1,1
38,0.0,0,1,0
48,133297.24,0,1,0
46,0.0,0,1,0
27,197041.8,0,0,0
44,71497.79,0,1,0
32,0.0,1,0,0
35,128100.28,0,1,1
25,124532.78,1,0,0
31,82293.82,1,0,0
36,142120.91,0,0,0
34,151839.26,0,0,1
31,149620.88,1,0,0
49,168197.66,0,1,1
37,93147.0,0,0,0
35,97440.02,1,1,0
42,65046.08,1,1,0
28,95357.49,0,1,0
43,123105.88,0,0,0
29,0.0,1,0,0
44,0.0,1,0,0
62,121286.27,1,0,0
28,167738.82,1,1,0
38,104091.29,0,1,0
42,121980.56,0,1,0
43,0.0,1,1,0
39,50880.98,1,0,0
42,175159.9,0,1,1
26,105514.69,0,1,0
52,116497.31,0,0,1
33,0.0,0,1,0
42,99824.45,1,0,0
45,0.0,0,0,1
71,0.0,1,0,0
40,0.0,0,0,1
35,122964.88,1,0,0
29,0.0,1,1,0
24,0.0,1,0,0
43,0.0,1,1,0
37,89634.69,1,1,1
40,95710.11,0,0,0
41,139706.31,0,0,0
45,103909.86,0,1,1
31,0.0,0,0,0
49,173434.9,0,0,1
32,102238.01,1,0,0
48,179380.74,1,1,0
32,0.0,1,0,0
25,108691.95,0,1,0
32,0.0,0,1,0
33,0.0,0,0,0
35,133377.8,1,0,0
34,0.0,1,0,0
53,0.0,1,0,0
39,116537.6,0,0,0
22,0.0,0,1,0
40,0.0,1,0,0
29,130131.08,1,0,0
46,0.0,1,0,0
30,0.0,0,0,0
30,107316.09,0,0,0
24,0.0,1,1,0
30,83181.29,1,0,0
72,0.0,1,1,0
67,153946.14,1,0,0
30,0.0,0,0,0
39,135483.17,0,1,1
35,0.0,0,0,0
38,119624.54,1,1,0
34,121132.26,0,0,0
42,0.0,0,1,1
48,0.0,0,1,1
25,54817.55,0,0,0
40,107949.45,0,0,1
30,0.0,1,0,0
49,80816.45,1,1,0
38,98205.77,0,0,0
50,94684.27,1,1,0
22,141604.76,0,1,0
74,0.0,1,1,0
33,0.0,0,0,0
47,122949.14,0,1,1
33,81677.22,0,0,0
38,80293.98,0,0,0
48,155413.06,0,1,0
38,0.0,1,1,0
38,67111.65,0,0,1
34,103818.43,1,0,0
20,0.0,1,1,0
36,152169.12,0,0,1
52,0.0,1,1,1
26,214346.96,0,0,0
57,0.0,0,0,1
40,113348.14,0,0,1
47,170935.94,0,1,1
52,103023.26,1,0,0
23,0.0,1,1,0
37,0.0,0,0,0
31,111855.04,1,1,0
32,140348.56,1,1,0
39,0.0,0,0,0
29,145512.84,0,0,0
41,146720.98,1,1,0
32,107209.73,1,0,0
38,130933.74,1,1,0
35,0.0,0,1,0
36,89772.3,0,0,1
32,0.0,0,1,0
24,0.0,0,0,0
42,0.0,0,0,1
36,100749.5,0,0,1
31,0.0,0,1,0
22,0.0,1,0,0
51,123981.31,1,1,0
34,91622.42,1,1,0
36,126195.81,1,0,0
41,94267.9,1,0,1
40,0.0,1,0,0
34,0.0,0,0,0
29,0.0,0,0,1
39,100717.85,1,1,1
36,0.0,0,0,0
26,141581.71,0,1,0
38,0.0,1,0,0
39,148586.64,1,1,0
29,0.0,0,0,0
38,0.0,0,0,0
